Date,Open,High,Low,Close,Volume
2005-02-25,97.912,99.049,97.823,98.861,75144995
2005-02-28,98.628,98.757,97.714,98.186,85282712
2005-03-01,98.323,98.939,98.323,98.698,58435887
2005-03-02,98.313,99.264,98.206,98.648,78902450
2005-03-03,99.049,99.244,98.255,98.688,76284677
2005-03-04,99.344,100.01,99.149,99.93,69004511
2005-03-07,99.87,100.33,99.64,99.97,53813659
2005-03-08,99.88,100.12,99.394,99.57,54869812
2005-03-09,99.294,99.54,98.461,98.47,90414708
2005-03-10,98.48,98.919,98.008,98.698,80217783
2005-03-11,98.949,99.089,97.803,98.008,71408304
2005-03-14,98.008,98.638,97.921,98.618,44637759
2005-03-15,98.847,98.891,97.754,97.793,76759071
2005-03-16,97.444,97.601,96.802,96.978,94249180
2005-03-17,97.142,97.473,96.861,97.181,77068375
2005-03-18,96.958,97.318,96.184,96.494,76017508
2005-03-21,96.638,96.697,95.856,96.147,75459335
2005-03-22,96.36,96.812,95.175,95.175,114648799
2005-03-23,95.195,95.837,95.051,95.253,88378440
2005-03-24,95.627,96.048,95.301,95.369,63900277
2005-03-28,95.587,96.008,95.503,95.503,57662873
2005-03-29,95.369,95.969,94.643,94.861,89728544
2005-03-30,95.175,96.232,95.061,96.213,77261353
2005-03-31,96.223,96.436,95.94,96.028,79904182
2005-04-01,96.56,96.871,95.175,95.597,119638914
2005-04-04,95.551,95.931,95.041,95.759,87963502
2005-04-05,95.865,96.37,95.797,96.223,61517984
2005-04-06,96.436,96.832,96.213,96.543,65486344
2005-04-07,96.399,97.092,96.311,97.073,58010382
2005-04-08,97.017,97.056,96.058,96.058,78978977
2005-04-11,96.292,96.408,95.911,96.147,56330465
2005-04-12,95.96,96.928,95.301,96.628,106340735
2005-04-13,96.513,96.716,95.36,95.494,81146184
2005-04-14,95.607,95.663,94.255,94.255,122398442
2005-04-15,94.228,94.595,92.885,92.924,164682155
2005-04-18,92.905,93.586,92.766,93.215,123228204
2005-04-19,93.701,94.199,93.483,93.964,84023020
2005-04-20,93.955,94.132,92.434,92.627,141065082
2005-04-21,93.448,94.605,93.111,94.444,107442209
2005-04-22,94.228,94.832,93.028,94.086,110355898
2005-04-25,94.328,94.832,94.209,94.7,64324186
2005-04-26,94.414,95.061,93.736,93.784,92575404
2005-04-27,93.512,94.492,93.168,94.152,104640427
2005-04-28,93.841,94.18,92.971,92.971,91230222
2005-04-29,93.682,94.338,92.775,94.237,128101010
2005-05-02,94.492,94.755,94.058,94.755,68863124
2005-05-03,94.492,95.128,94.18,94.929,106763418
2005-05-04,94.955,95.856,94.661,95.663,101325430
2005-05-05,95.797,96.058,95.041,95.627,119548750
2005-05-06,95.999,96.048,95.301,95.32,85498905
2005-05-09,95.437,96.138,95.291,95.903,54019535
2005-05-10,95.551,95.663,94.745,94.929,92169795
2005-05-11,95.185,95.569,94.321,95.454,113060516
2005-05-12,95.512,95.72,93.964,94.405,117400457
2005-05-13,94.671,94.929,93.456,94.209,104955008
2005-05-16,94.189,95.118,94.161,95.089,60621763
2005-05-17,94.773,95.817,94.567,95.71,75442872
2005-05-18,96.128,96.938,96.067,96.706,95878731
2005-05-19,96.891,97.221,96.628,97.122,77203005
2005-05-20,97.172,97.201,96.668,96.978,57026705
2005-05-23,97.056,97.714,97.036,97.513,63008112
2005-05-24,97.239,97.562,97.046,97.299,62646111
2005-05-25,97.181,97.591,96.745,97.221,59555910
2005-05-26,97.523,97.853,97.386,97.724,53506325
2005-05-27,97.734,97.893,97.533,97.893,30268935
2005-05-31,97.754,97.813,97.211,97.279,55192133
2005-06-01,97.318,98.441,97.249,98.097,85844200
